	AT100	AT300	AT400	FT100	FT101	FT102	FT103	FT104	FT105	FT106	FT107	FT108	FT109	FT116	FT201	FT300	FT301	FT302	FT303	FT304	FT305	FT402	LT101	LT104	LT108	LT401	PDT105	PT102	PT103	PT104	PT110	PT111	PT115a	PT115b	PT401	PT402	PT403	TT100	TT102	TT103	TT104	TT105	TT107	TT108	TT109	TT110a	TT110b	TT112	TT113	TT117	TT118	TT119	TT120	TT121	TT200	TT201	TT202	TT203	TT204	TT205	TT206	TT207	TT208	TT209	TT210	TT211	TT213	TT214	TT215	TT216	TT217	TT300	TT301	TT302	TT303	TT304	TT305	TT306	TT307	TT308	TT309	TT400	TT401	TT402	TT403	TT404	TT410	TT411	TT412	TT413		
	(pH)	(pH)	(CO2 %)	(kg/hr)	(kg/hr)	(kg/hr)	(kg/hr)	(kg/hr)	(L/min)	(kg/hr)	(kg/hr)	(kg/hr)	(kg/hr)	(L/min)	(kg/hr)	(L/min)	m3/hr	(kg/hr)	m3/hr	(kg/hr)	(kg/hr)	(kg/hr)	(%)	(%)	(%)	(%)	(barg)	(barg)	(barg)	(bar)	(barg)	(barg)	(barg)	(barg)	(barg)	(barg)	(barg)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)	(0C)		
11-20-2020 12:00:00	11.01	0.85	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.86	0.00	0.00	0.00	0.00	86.20	0.23	42.24	13.76	0.01	0.22	0.19	0.80	0.11	0.19	0.54	0.58	0.11	0.11	0.11	19.15	17.99	19.52	17.30	17.42	20.40	17.69	19.71	18.66	18.84	18.70	17.96	18.52	18.51	19.49	19.39	19.39	17.69	17.31	18.00	17.58	19.37	18.83	17.78	18.47	18.34	18.79	18.60	18.82	18.35	18.42	18.67	18.15	18.65	17.82	17.54	18.61	18.52	18.89	18.58	18.91	18.61	18.90	19.06	21.60	21.68	22.62	21.44	21.09	21.18	20.94	21.11	22.09		
11-20-2020 12:00:14	11.01	0.85	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.87	0.00	0.00	0.00	0.00	86.20	0.23	42.24	13.75	0.01	0.22	0.19	0.80	0.11	0.19	0.54	0.58	0.11	0.11	0.11	19.15	17.98	19.52	17.30	17.43	20.40	17.68	19.72	18.67	18.83	18.70	17.96	18.52	18.51	19.47	19.39	19.35	17.71	17.31	18.00	17.58	19.38	18.83	17.79	18.47	18.35	18.82	18.59	18.83	18.36	18.42	18.69	18.15	18.67	17.87	17.54	18.61	18.52	18.89	18.59	18.91	18.62	18.90	19.06	21.60	21.69	22.63	21.44	21.09	21.17	20.93	21.11	22.09		
11-20-2020 12:00:29	11.01	0.85	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.87	0.00	0.00	0.00	0.00	86.21	0.23	42.24	13.74	0.01	0.22	0.19	0.80	0.11	0.19	0.54	0.58	0.11	0.11	0.11	19.15	17.98	19.52	17.30	17.43	20.40	17.69	19.71	18.66	18.83	18.70	17.96	18.52	18.52	19.48	19.39	19.39	17.70	17.31	17.95	17.58	19.38	18.83	17.80	18.47	18.35	18.81	18.61	18.83	18.30	18.43	18.68	18.15	18.67	17.84	17.54	18.61	18.53	18.89	18.59	18.92	18.61	18.88	19.06	21.60	21.68	22.62	21.44	21.09	21.18	20.94	21.11	22.10		
11-20-2020 12:00:43	11.01	0.85	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.87	0.00	0.00	0.00	0.00	86.21	0.23	42.24	13.76	0.01	0.22	0.19	0.80	0.11	0.19	0.54	0.58	0.11	0.11	0.11	19.16	17.98	19.52	17.30	17.43	20.41	17.69	19.72	18.67	18.84	18.70	17.93	18.53	18.52	19.51	19.39	19.38	17.75	17.31	17.96	17.58	19.39	18.83	17.78	18.47	18.36	18.80	18.60	18.80	18.35	18.43	18.68	18.16	18.66	17.84	17.54	18.61	18.53	18.89	18.59	18.91	18.61	18.89	19.06	21.60	21.68	22.62	21.42	21.09	21.18	20.93	21.11	22.09		
11-20-2020 12:00:58	11.01	0.85	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.83	0.00	0.00	0.00	0.00	86.21	0.23	42.24	13.75	0.01	0.22	0.19	0.80	0.11	0.19	0.54	0.58	0.11	0.11	0.11	19.15	17.98	19.51	17.30	17.43	20.41	17.70	19.72	18.67	18.85	18.69	17.97	18.53	18.51	19.47	19.39	19.39	17.70	17.31	18.00	17.58	19.39	18.82	17.79	18.47	18.36	18.82	18.61	18.83	18.34	18.42	18.67	18.15	18.68	17.82	17.54	18.62	18.53	18.89	18.60	18.92	18.62	18.89	19.06	21.60	21.67	22.61	21.44	21.09	21.18	20.94	21.11	22.09		
11-20-2020 12:01:12	11.01	0.85	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.87	0.00	0.00	0.00	0.00	86.21	0.23	42.24	13.76	0.01	0.22	0.19	0.80	0.11	0.19	0.54	0.58	0.11	0.11	0.11	19.15	17.99	19.51	17.30	17.44	20.40	17.69	19.71	18.67	18.84	18.70	17.96	18.53	18.53	19.50	19.39	19.36	17.71	17.31	17.96	17.58	19.38	18.82	17.79	18.47	18.36	18.81	18.62	18.83	18.32	18.43	18.69	18.16	18.65	17.86	17.54	18.62	18.53	18.89	18.59	18.92	18.63	18.89	19.06	21.61	21.68	22.62	21.44	21.09	21.18	20.93	21.11	22.09		
11-20-2020 12:01:26	11.01	0.85	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.86	0.00	0.00	0.00	0.00	86.21	0.23	42.24	13.75	0.01	0.22	0.19	0.80	0.11	0.19	0.54	0.58	0.11	0.11	0.11	19.16	17.98	19.51	17.30	17.42	20.40	17.69	19.72	18.67	18.83	18.70	17.97	18.53	18.52	19.46	19.39	19.35	17.72	17.31	18.00	17.62	19.39	18.83	17.80	18.47	18.37	18.82	18.60	18.82	18.33	18.43	18.68	18.16	18.65	17.82	17.54	18.61	18.53	18.90	18.60	18.92	18.63	18.89	19.06	21.60	21.68	22.62	21.44	21.09	21.18	20.93	21.10	22.09		
11-20-2020 12:01:41	11.01	0.85	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.86	0.00	0.00	0.00	0.00	86.21	0.23	42.24	13.76	0.01	0.22	0.19	0.80	0.11	0.19	0.54	0.58	0.11	0.11	0.11	19.16	17.98	19.51	17.30	17.43	20.41	17.70	19.72	18.67	18.84	18.70	17.96	18.52	18.53	19.48	19.41	19.38	17.68	17.32	18.00	17.58	19.39	18.84	17.80	18.47	18.36	18.81	18.61	18.85	18.37	18.44	18.69	18.16	18.67	17.85	17.54	18.62	18.52	18.90	18.60	18.93	18.62	18.90	19.07	21.60	21.68	22.63	21.44	21.09	21.17	20.93	21.11	22.10		
11-20-2020 12:01:55	11.01	0.85	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.86	0.00	0.00	0.00	0.00	86.21	0.23	42.24	13.76	0.01	0.22	0.19	0.80	0.11	0.19	0.54	0.58	0.11	0.11	0.11	19.16	17.99	19.52	17.31	17.43	20.41	17.70	19.72	18.68	18.84	18.71	17.97	18.53	18.53	19.47	19.39	19.39	17.71	17.31	18.00	17.58	19.38	18.83	17.80	18.48	18.37	18.81	18.61	18.84	18.34	18.43	18.70	18.16	18.68	17.87	17.54	18.62	18.53	18.89	18.60	18.92	18.62	18.89	19.07	21.60	21.68	22.62	21.44	21.09	21.17	20.93	21.10	22.10		
